,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
A1BG,6.478884,6.8927207,6.4978886,6.4745536,7.043223,6.101271,6.5443454,6.237552,6.5517287,6.561019
A4GALT,4.2421856,5.1545396,5.3816853,5.170628,6.0577955,5.3617496,4.6854186,5.169161,5.1467495,4.973249
AAAS,11.44026,11.764819,11.771545,11.913461,12.027841,11.555755,11.571232,11.7499275,11.42123,11.633066
AACSP1,7.695919,8.040582,7.614329,7.589328,7.86361,6.5283103,6.1128297,6.638958,6.4558587,6.5912714
AADACL2-AS1,4.6671147,4.7352595,4.657217,5.222483,2.9963744,4.623774,3.449243,5.0176144,5.299094,4.5965123
AADACL3,5.5137825,6.3157196,5.8323507,5.722854,5.82843,7.05241,5.9448013,6.988126,6.632577,7.0134134
AADACL4,2.4685853,4.1979785,7.3894997,4.144094,4.686092,5.317495,7.134723,5.188707,6.385463,6.41827
AAK1,5.1343875,5.2145433,5.2079034,5.2421575,5.5967345,5.0045767,4.2603545,4.6166525,4.7848716,5.7323327
AANAT,4.796932,4.761709,5.6001353,5.3822217,5.221554,5.1963863,5.1342454,5.5690165,5.101162,4.832099
AAR2,5.1426344,5.3126383,3.9144413,5.086265,4.823028,7.0473056,5.8298492,6.688985,7.1099057,7.2675357
AARS,6.445149,6.8038588,6.75132,6.482259,6.614476,6.5700707,6.3227773,6.4805818,6.5990496,6.645168
AARSD1,3.9062343,2.9313414,4.3435535,3.109196,2.3915348,5.68571,5.0015707,5.053594,6.0615063,6.026306
AATF,4.199793,4.3195705,4.35044,4.6048427,5.54561,4.500663,5.203205,4.3722754,4.7352595,4.7496457
ABAT,6.4143286,6.928413,7.0106196,7.1856475,6.5154066,6.4400005,6.253054,6.7922378,6.0247154,5.522535
ABCA10,6.9088726,6.799458,6.991929,6.6968794,6.6767097,6.5474358,6.1172476,6.549445,6.473258,6.1909146
ABCA17P,7.5565987,8.168871,8.437089,8.310116,8.5256195,7.6114063,7.8609405,8.822544,7.409317,7.2504807
ABCA2,5.84568,5.7922993,5.79807,5.5174475,6.094929,5.383021,6.535959,4.5040946,4.9433813,6.391888
ABCA3,4.743995,6.448835,6.7167683,6.2838116,6.325517,6.9587755,6.8345013,7.057601,7.088492,6.9326477
ABCA4,8.495634,9.024176,9.51694,9.343689,9.070597,9.142237,9.141872,9.206497,9.466412,9.341032
ABCB1,6.056807,6.2376294,5.598263,5.7845335,6.0444956,5.961302,3.7998612,5.9268646,6.0204167,6.2506857
ABCB11,5.081025,5.8788695,5.885627,6.4805818,5.69053,8.525394,8.367355,8.5359125,8.360859,9.433976
ABCB5,9.021818,9.42054,9.605963,9.893798,9.425967,9.062034,9.069927,9.138048,9.427461,9.236638
