symbol,GSM1354764,GSM1354765,GSM1354766,GSM1354767,GSM1354768,GSM1354769,GSM1354770,GSM1354771,GSM1354772,GSM1354773
ABI3BP,5.5466146,5.7551947,5.5846133,4.9883785,5.9710126,7.412356,7.046918,7.338317,7.3841205,7.463211
AKT3,6.477221,5.3192153,5.762353,5.448108,5.703745,8.211582,7.888015,8.149195,8.230659,8.360859
ALOX15B,5.3333015,4.870886,5.2713504,5.387052,5.7448297,7.6248283,7.649634,7.504157,9.025718,8.928136
ARRB1,7.007163,7.340168,6.8628106,7.22137,7.255925,5.80284,6.4570436,6.013596,5.8627834,5.8529625
ASAH1,7.29702,7.485901,7.3682756,7.6397834,7.4738436,9.266647,9.36215,9.427461,9.409365,9.38378
ASPH,11.202603,11.866036,12.505879,12.530462,11.385834,10.399825,10.136802,10.724446,9.023629,8.914405
ATF7IP,4.9314814,4.1695337,5.40192,4.4420457,4.695931,5.5336967,5.8393955,5.6605635,5.8960648,5.956207
ATXN10,7.1136336,5.856095,5.6140327,5.3315377,5.6685915,5.454833,4.0119977,5.256502,5.195997,4.382803
BNIP3L,7.167225,6.8440547,7.0596566,6.497485,6.9020267,9.151245,9.223415,8.7844925,9.195786,9.167269
BTG2,6.1226983,6.3227773,6.03458,6.0875025,6.7504764,8.302175,7.948566,8.274071,8.598632,8.447348
CASP2,9.509333,10.761,10.061347,10.04315,9.937922,8.892385,8.992209,9.114813,8.848732,8.82447
CAVIN1,8.809527,8.275742,9.5264435,9.079667,7.805085,9.862609,9.681658,9.6596985,9.673894,9.788695
CBX5,4.216314,2.9313414,4.5797215,5.259391,4.467252,5.385534,6.9394975,5.277511,6.0851865,6.1884246
CDK2AP1,9.360992,8.647035,8.521222,8.7518015,8.584026,11.061286,11.17581,11.198987,11.077751,10.981938
CEBPB,6.276258,6.471556,5.875322,6.4500866,6.1450596,10.219112,10.150606,10.114831,10.228547,10.266739
CEBPG,4.540166,5.345853,4.1959715,4.690412,4.6089697,8.00908,7.6950774,7.754759,8.185903,8.207514
CHD5,5.5748386,6.4898977,5.729348,6.2562175,6.6084023,2.7577941,3.1566057,3.1625397,3.0585997,2.8425074
CIT,12.085121,12.156272,11.975026,12.026804,12.047982,10.986736,10.984581,11.026021,10.974411,11.01897
CLU,7.0077,7.4970074,6.8447742,6.8812003,7.3759427,4.980272,4.8481116,4.9756336,5.177695,4.6329403
CSNK2A1,9.937922,9.532079,10.189575,9.5069475,9.758509,8.337423,8.374343,8.315936,7.740309,7.9824457
CTNNAL1,4.348626,5.7435474,5.328302,5.4910307,4.6869907,4.919235,3.9281385,4.716205,3.4719079,3.3727088
CTSB,8.82628,8.929442,8.696655,8.640523,9.229584,7.595208,7.381537,7.93849,7.634506,7.5048547
